original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
4462,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,481,?,pero bueno por que me das el culo a mi ?%mor: conj|pero=but co|bueno=good prep|por=for pro:rel|que=that pro:obj|me=me v|da-2S&PRES=give det:art|el&m&SG=the n|culo&m=buttocks prepart|a=to det:poss|mi=my ?,%mor:
4463,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,485,.,toma yo voy tu ay: .%mor: v|toma-3S&PRES=take pro:sub|yo=I v|i-1S&PRES=go det:poss|tu=your co|ay=ay .,%mor:
4464,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,488,.,xxx .,%mor:
4465,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,489,.,tonto .%mor: n|tonto-m=dummy .,%mor:
4466,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,491,!,tu sí que eres tonto !%mor: det:poss|tu=your co|sí=yes pro:rel|que=that cop|se-2S&PRES=be adj|tonto-m=stupid !,%mor:
4467,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,494,.,no no no no estoy .%mor: adv|no=no adv|no=no adv|no=no adv|no=no aux|esta-1S&PRES=be .,%mor:
4468,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,496,?,no estás ?%mor: adv|no=no aux|esta-2S&PRES=be ?,%mor:
4469,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,498,!,uy que bien !%mor: co|uy pro:rel|que=that adv|bien=well !,%mor:
4470,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,500,.,se ha ido Juan al parque se ha ido al retiro Josetxu (.) se ha ido al retiro sabes a_ver .%mor: pro:refl|se=itself aux|habe-3S&PRES=have part|i-PPART-m=go n:prop|Juan prepart|a~det:art|el&m=to n|parque&m=park pro:refl|se=itself aux|habe-3S&PRES=have part|i-PPART-m=go prepart|a~det:art|el&m=to n|retiro&m=retreat n:prop|Josetxu pro:refl|se=itself aux|habe-3S&PRES=have part|i-PPART-m=go prepart|a~det:art|el&m=to n|retiro&m=retreat co|sabes=you_know co|a_ver .,%mor:
4471,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,509,.,ay que susto .%mor: co|ay=ay pro:rel|que=that n|susto&m=fright .,%mor:
4472,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,511,!,que susto me has da(d)o !%mor: pro:rel|que=that n|susto&m=fright pro:obj|me=me aux|habe-2S&PRES=have part|da-PPART-m=give !,%mor:
4473,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,514,.,ay: .%mor: co|ay=ay .,%mor:
4474,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,516,.,chss@o .%mor: on|chss .,%mor:
4475,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,518,.,"Juan no chilles que está Jaime dormido , por_favor .%mor: n:prop|Juan adv|no=no v|chilla-2S&SUB&PRES=scream pro:rel|que=that cop|esta-3S&PRES=be n:prop|Jaime part|dormi-PPART-m=sleep cm|cm co|por_favor=please .",%mor:
4476,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,522,.,ay que susto .%mor: co|ay=ay pro:rel|que=that n|susto&m=fright .,%mor:
4477,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,524,.,me has dado un susto sí .%mor: pro:obj|me=me aux|habe-2S&PRES=have part|da-PPART-m=give det:art|un&m=one n|susto&m=fright co|sí=yes .,%mor:
4478,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,527,.,ven que te voy a limpiar los mocos ven ven que te voy a dar otro susto yo que te voy a limpiar los mocos .%mor: imp|veni-2S&IMP=come pro:rel|que=that pro:obj|te=you v|i-1S&PRES=go prepart|a=to inf|limpia-INF=clean det:art|el&m-PL=the n|moco&m-PL=mucus co|ven=come imp|veni-2S&IMP=come pro:rel|que=that pro:obj|te=you v|i-1S&PRES=go prepart|a=to inf|da-INF=give pro:indef|otro-m=other n|susto&m=fright pro:sub|yo=I pro:rel|que=that pro:obj|te=you v|i-1S&PRES=go prepart|a=to inf|limpia-INF=clean det:art|el&m-PL=the n|moco&m-PL=mucus .,%mor:
4479,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,536,!,oh !%mor: co|oh=oh !,%mor:
4480,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,538,!,espera espera espera aquí oh !%mor: v|espera-3S&PRES=wait v|espera-3S&PRES=wait v|espera-3S&PRES=wait adv|aquí=here co|oh=oh !,%mor:
4481,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,541,!,oh !%mor: co|oh=oh !,%mor:
4482,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,543,.,ah ay: ah .%mor: co|ah co|ay=ay co|ah .,%mor:
4483,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,546,.,ahora a Josetxu xxx uy perdona .%mor: adv|ahora=now prepart|a=to n:prop|Josetxu co|uy co|perdona=pardon .,%mor:
4484,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,548,.,le limpiamos los oh te he hecho daño con el reloj perdona perdona .%mor: pro:ind|le&m=him v|limpia-1P&PRES&PRET=clean det:art|el&m-PL=the co|oh=oh pro:obj|te=you aux|habe-1S&PRES=have n|hecho&m=action n|daño&m=damage prep|con=with det:art|el&m&SG=the n|reloj&m=clock co|perdona=pardon co|perdona=pardon .,%mor:
4485,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,553,.,xxx pobre pobre .%mor: co|pobre=poor_thing co|pobre=poor_thing .,%mor:
4486,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,555,.,eso no (.) los mocos no .%mor: pro:dem|eso=that_one adv|no=no det:art|el&m-PL=the n|moco&m-PL=mucus adv|no=no .,%mor:
4487,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,558,?,le limpiamos los mocos a Josetxu ?%mor: pro:ind|le&m=him v|limpia-1P&PRES&PRET=clean det:art|el&m-PL=the n|moco&m-PL=mucus prepart|a=to n:prop|Josetxu ?,%mor:
4488,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,561,.,sí .%mor: co|sí=yes .,%mor:
4489,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,563,.,ven aquí Josetxu que te voy a limpiar los mocos .%mor: imp|veni-2S&IMP=come adv|aquí=here n:prop|Josetxu pro:rel|que=that pro:obj|te=you v|i-1S&PRES=go prepart|a=to inf|limpia-INF=clean det:art|el&m-PL=the n|moco&m-PL=mucus .,%mor:
4490,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,567,.,no .%mor: adv|no=no .,%mor:
4491,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,569,.,te he dicho que vengas aquí .%mor: pro:obj|te=you aux|habe-1S&PRES=have part|deci-PPART-m=say pro:rel|que=that v|venga-2S&PRES=avenge adv|aquí=here .,%mor:
4492,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,572,.,no .%mor: adv|no=no .,%mor:
4493,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,574,.,traelo Juan traelo .%mor: imp|trae-2S&IMP~pro:clit|OBJ&m=carry n:prop|Juan imp|trae-2S&IMP~pro:clit|OBJ&m=carry .,%mor:
4494,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,577,.,ernena@b ermida@b .%mor: bab|ernena bab|ermida .,%mor:
4495,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,579,.,no .%mor: adv|no=no .,%mor:
4496,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,581,.,te voy a limpiar los mocos .%mor: pro:obj|te=you v|i-1S&PRES=go prepart|a=to inf|limpia-INF=clean det:art|el&m-PL=the n|moco&m-PL=mucus .,%mor:
4497,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,584,.,me escapo me escapo me escapo me escapo (.) me escapo (.) no estoy (.) no estoy (.) no estoy .%mor: pro:obj|me=me v|escapa-1S&PRES=escape pro:obj|me=me v|escapa-1S&PRES=escape pro:obj|me=me v|escapa-1S&PRES=escape pro:obj|me=me v|escapa-1S&PRES=escape pro:obj|me=me v|escapa-1S&PRES=escape adv|no=no cop|esta-1S&PRES=be adv|no=no cop|esta-1S&PRES=be adv|no=no aux|esta-1S&PRES=be .,%mor:
4498,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,591,.,ay: que susto .%mor: co|ay=ay pro:rel|que=that n|susto&m=fright .,%mor:
4499,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,593,!,ay que susto me has da(d)o !%mor: co|ay=ay pro:rel|que=that n|susto&m=fright pro:obj|me=me aux|habe-2S&PRES=have part|da-PPART-m=give !,%mor:
4500,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,596,.,ay [: ahora] [*] yo au [: ahora] [*] yo .%mor: adv|ahora=now pro:sub|yo=I adv|ahora=now pro:sub|yo=I .,%mor:
4501,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,598,.,ahora tu a_ver a_ver di uu: (.) un susto .%mor: adv|ahora=now det:poss|tu=your co|a_ver co|a_ver imp|deci-2S&IMP=say co|uu det:art|un&m=one n|susto&m=fright .,%mor:
4502,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,601,.,xxx .,%mor:
4503,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,602,.,un susto te he dado .%mor: det:art|un&m=one n|susto&m=fright pro:obj|te=you aux|habe-1S&PRES=have part|da-PPART-m=give .,%mor:
4504,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,606,.,ay: .%mor: co|ay=ay .,%mor:
4505,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,608,?,"schs@o , hemos dicho que no vale chillar eh ?%mor: on|schs cm|cm aux|habe-1P&PRES=have part|deci-PPART-m=say pro:rel|que=that adv|no=no co|vale=okay inf|chilla-INF=scream co|eh ?",%mor:
4506,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,612,.,bueno traeme traeme aquí a Josetxu para limpiarle los mocos .%mor: co|bueno=good imp|trae-2S&IMP~pro:clit|1S=carry imp|trae-2S&IMP~pro:clit|1S=carry adv|aquí=here prepart|a=to n:prop|Josetxu prep|para=for inf|limpia-INF~pro:clit|3S=clean det:art|el&m-PL=the n|moco&m-PL=mucus .,%mor:
4507,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,617,.,eh .%mor: co|eh .,%mor:
4508,030500b.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,619,.,traeme aquí a Josetxu para limpiarle los mocos .%mor: imp|trae-2S&IMP~pro:clit|1S=carry adv|aquí=here prepart|a=to n:prop|Josetxu prep|para=for inf|limpia-INF~pro:clit|3S=clean det:art|el&m-PL=the n|moco&m-PL=mucus .,%mor:
4509,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,623,.,ay .%mor: co|ay=ay .,%mor:
4510,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,625,.,que no que digo yo que no .%mor: pro:rel|que=that adv|no=no pro:rel|que=that v|deci-1S&PRES=say pro:sub|yo=I pro:rel|que=that adv|no=no .,%mor:
4511,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,628,.,ay toma Jaje xxx .%mor: co|ay=ay v|toma-3S&PRES=take n:prop|Jaje .,%mor:
4512,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,630,!,como vaya !%mor: adv|como=like co|vaya=come_on !,%mor:
4513,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,632,.,ju ju ay um ah eh um (.) eh a tante [: elefante] [*] hace atante [: elefante] [*] hace .%mor: co|ju co|ju co|ay=ay co|um co|ah co|eh co|um co|eh prepart|a=to n|elefante&m=elephant v|hace-3S&PRES=do n|elefante&m=elephant v|hace-3S&PRES=do .,%mor:
4514,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,637,?,que hace el elefante ?%mor: pro:rel|que=that v|hace-3S&PRES=do det:art|el&m&SG=the n|elefante&m=elephant ?,%mor:
4515,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,640,.,eh .%mor: co|eh .,%mor:
4516,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,642,?,que hacen ?%mor: pro:rel|que=that v|hace-3P&PRES=do ?,%mor:
4517,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,644,.,eh .%mor: co|eh .,%mor:
4518,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,646,?,que hacen los elefantes ?%mor: pro:rel|que=that v|hace-3P&PRES=do det:art|el&m-PL=the n|elefante&m-PL=elephant ?,%mor:
4519,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,649,.,mira mira saltar je je xxx .%mor: co|mira=look v|mira-3S&PRES=look inf|salta-INF=jump co|je=ha co|je=ha .,%mor:
4520,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,652,?,que hacen ?%mor: pro:rel|que=that v|hace-3P&PRES=do ?,%mor:
4521,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,654,.,saltar y coge el rabo .%mor: inf|salta-INF=jump coord|y=and v|coge-3S&PRES=take det:art|el&m&SG=the n|rabo&m=tail .,%mor:
4522,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,657,?,con que coge el rabo ?%mor: prep|con=with pro:rel|que=that v|coge-3S&PRES=take det:art|el&m&SG=the n|rabo&m=tail ?,%mor:
4523,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,660,.,a ot(r)o [*] .%mor: prepart|a=to pro:indef|otro-m=other .,%mor:
4524,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,662,?,a otro elefante ?%mor: prepart|a=to qn|otro-m=other n|elefante&m=elephant ?,%mor:
4525,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,664,.,sí .%mor: co|sí=yes .,%mor:
4526,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,666,?,con que le coge el rabo ?%mor: prep|con=with pro:rel|que=that pro:ind|le&m=him v|coge-3S&PRES=take det:art|el&m&SG=the n|rabo&m=tail ?,%mor:
4527,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,669,.,así así .%mor: adv|así=thus adv|así=thus .,%mor:
4528,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,671,?,así conque ?%mor: adv|así=thus conj|conque=so ?,%mor:
4529,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,673,?,con la pata ?%mor: prep|con=with det:art|el&f&SG=the n|pata&f=animal_foot ?,%mor:
4530,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,675,.,sí .%mor: co|sí=yes .,%mor:
4531,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,677,?,con la pata ?%mor: prep|con=with det:art|el&f&SG=the n|pata&f=animal_foot ?,%mor:
4532,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,679,.,no .%mor: adv|no=no .,%mor:
4533,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,681,?,con que ?%mor: prep|con=with pro:rel|que=that ?,%mor:
4534,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,683,.,no .%mor: adv|no=no .,%mor:
4535,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,685,?,con que ?%mor: prep|con=with pro:rel|que=that ?,%mor:
4536,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,687,.,con la trompa .%mor: prep|con=with det:art|el&f&SG=the n|trompa&f=horn .,%mor:
4537,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,689,!,ah !%mor: co|ah !,%mor:
4538,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,691,.,con la trompa así le coge con la trompa así .%mor: prep|con=with det:art|el&f&SG=the n|trompa&f=horn adv|así=thus pro:ind|le&m=him v|coge-3S&PRES=take prep|con=with det:art|el&f&SG=the n|trompa&f=horn adv|así=thus .,%mor:
4539,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,695,.,sí nini@b ah nini@b ah .%mor: co|sí=yes bab|nini co|ah bab|nini co|ah .,%mor:
4540,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,697,?,y el señor ?%mor: coord|y=and det:art|el&m&SG=the n|señor&m=sir ?,%mor:
4541,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,699,.,toma .%mor: imp|toma-2S&IMP=take .,%mor:
4542,030500b.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,701,?,y el señor que hace ?%mor: coord|y=and det:art|el&m&SG=the co|señor=sir pro:rel|que=that v|hace-3S&PRES=do ?,%mor:
4543,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,704,!,que bien !%mor: pro:rel|que=that adv|bien=well !,%mor:
4544,030500b.cha,spa,Linaza,CHI,3;05.00,.,.,.,Target_Child,.,.,706,.,aum aum xxx .%mor: co|aum=yum co|aum=yum .,%mor:
4545,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,10,.,atletic .%mor: n|atletic&m=athletic .,%mor:
4546,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,13,.,rayo rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray .,%mor:
4547,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,15,.,pero bueno atletic .%mor: conj|pero=but adj|buen-m=good n|atletic&m=athletic .,%mor:
4548,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,17,.,rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray .,%mor:
4549,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,19,.,atletic .%mor: n|atletic&m=athletic .,%mor:
4550,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,21,.,rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray .,%mor:
4551,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,23,.,atletic atletic atletic .%mor: n|atletic&m=athletic n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4552,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,25,.,rayo rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray .,%mor:
4553,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,27,.,"ya , ya veras cuando te vea .%mor: adv|ya=already cm|cm adv|ya=already n|vera&f-PL=side conj|cuando=when pro:obj|te=you v|ve-13S&SUB&PRES=see .",%mor:
4554,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,30,.,Jose Luis decir eso de rayo rayo atletic atletic .%mor: n:prop|Jose n:prop|Luis inf|deci-INF=say pro:dem|eso=that_one prep|de=of n|rayo&m=ray n|rayo&m=ray n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4555,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,34,.,rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray .,%mor:
4556,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,36,.,pero bueno .%mor: conj|pero=but co|bueno=good .,%mor:
4557,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,38,.,rayo rayo rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray .,%mor:
4558,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,40,.,atletic atletic .%mor: n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4559,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,42,.,rayo rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray .,%mor:
4560,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,45,.,atletic atletic .%mor: n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4561,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,47,.,rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray .,%mor:
4562,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,50,.,pero quien ha dicho lo de rayo .%mor: conj|pero=but pro:rel|quien=who aux|habe-3S&PRES=have part|deci-PPART-m=say pro:obj|le-m=him prep|de=of n|rayo&m=ray .,%mor:
4563,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,53,.,yo .%mor: pro:sub|yo=I .,%mor:
4564,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,55,.,como que tu .%mor: adv|como=like pro:rel|que=that det:poss|tu=your .,%mor:
4565,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,57,.,ah .%mor: co|ah .,%mor:
4566,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,59,?,quien ha dicho lo de rayo ?%mor: pro:rel|quien=who aux|habe-3S&PRES=have part|deci-PPART-m=say pro:obj|le-m=him prep|de=of n|rayo&m=ray ?,%mor:
4567,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,62,.,"te voy a enseñar ahora , si ponen en la televis(i)ón el atletic y el rayo .%mor: pro:obj|te=you v|i-1S&PRES=go prepart|a=to inf|enseña-INF=teach adv|ahora=now cm|cm conj|si=if v|pone-3P&PRES=put prep|en=in det:art|el&f&SG=the n|televisión&f=television det:art|el&m&SG=the n|atletic&m=athletic coord|y=and det:art|el&m&SG=the n|rayo&m=ray .",%mor:
4568,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,68,?,a ti cual te gusta más el atletic o el rayo ?%mor: prepart|a=to pro:prep|ti=you pro:rel|cual=which pro:obj|te=you v|gusta-3S&PRES=like adv|más=more det:art|el&m&SG=the n|atletic&m=athletic coord|o=or det:art|el&m&SG=the n|rayo&m=ray ?,%mor:
4569,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,72,.,el atleti(c) .%mor: det:art|el&m&SG=the n|atletic&m=athletic .,%mor:
4570,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,74,.,pues entonces di eso de atletic atletic .%mor: co|pues=well adv|entonces=then imp|deci-2S&IMP=say pro:dem|eso=that_one prep|de=of n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4571,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,79,.,a_ver como lo dices tu .%mor: co|a_ver adv|como=like pro:obj|le-m=him v|deci-2S&PRES=say det:poss|tu=your .,%mor:
4572,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,82,.,atleti(c) rayo rayo .%mor: n|atletic&m=athletic n|rayo&m=ray n|rayo&m=ray .,%mor:
4573,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,84,.,pero me cachis en la mar .%mor: conj|pero=but pro:obj|me=me co|cachis=bad_luck prep|en=in det:art|el&f&SG=the n|mar&f=sea .,%mor:
4574,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,87,.,rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray .,%mor:
4575,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,90,.,rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray .,%mor:
4576,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,92,.,no di atletic atletic .%mor: adv|no=no imp|deci-2S&IMP=say n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4577,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,95,.,rayo rayo rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray .,%mor:
4578,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,97,?,pues tu quieres venir al fútbol con Jose Luis y con Rafa eh ?%mor: co|pues=well det:poss|tu=your v|quere-2S&PRES=want inf|veni-INF=come prepart|a~det:art|el&m=to n|fútbol&m=soccer prep|con=with n:prop|Jose n:prop|Luis coord|y=and prep|con=with n:prop|Rafa co|eh ?,%mor:
4579,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,102,.,sí .%mor: co|sí=yes .,%mor:
4580,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,104,.,pues entonces tienes que decir atletic atletic .%mor: co|pues=well adv|entonces=then v|tene-2S&PRES=have pro:rel|que=that inf|deci-INF=say n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4581,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,108,.,no dicen así mira atletic atletic .%mor: adv|no=no v|deci-3P&PRES=say adv|así=thus v|mira-3S&PRES=look n|atletic&m=athletic n|atletic&m=athletic .,%mor:
4582,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,111,.,a_ver tu como lo dices .%mor: co|a_ver det:poss|tu=your adv|como=like pro:obj|le-m=him v|deci-2S&PRES=say .,%mor:
4583,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,114,.,atletic a raryo [: rayo] [*] .%mor: n|atletic&m=athletic prepart|a=to v|raya-1S&PRES=scratch .,%mor:
4584,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,116,.,pero bueno .%mor: conj|pero=but co|bueno=good .,%mor:
4585,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,118,.,a rayo rayo rayo rayo rayo .%mor: prepart|a=to v|raya-1S&PRES=scratch n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray .,%mor:
4586,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,121,.,así mira atletic .%mor: adv|así=thus v|mira-3S&PRES=look n|atletic&m=athletic .,%mor:
4587,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,124,.,a rayo .%mor: prepart|a=to v|raya-1S&PRES=scratch .,%mor:
4588,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,126,.,que no .%mor: pro:rel|que=that adv|no=no .,%mor:
4589,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,128,.,a rayo rayo rayo .%mor: prepart|a=to v|raya-1S&PRES=scratch n|rayo&m=ray n|rayo&m=ray .,%mor:
4590,030600a.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,130,.,atletic .%mor: n|atletic&m=athletic .,%mor:
4591,030600a.cha,spa,Linaza,CHI,3;06.00,.,.,.,Target_Child,.,.,133,.,rayo rayo rayo rayo rayo .%mor: n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray n|rayo&m=ray .,%mor:
